legal_code,legal_name,region_group,size_stratum,csv_total_units,api_total_units,pages,sampling_probability,sampling_weight,page1_villas,villa_units
1114016200,서울특별시 중구 신당동,서울,high,34170,34170,35,0.0354426641069187,28.214583333333334,874,5975
1123010500,서울특별시 동대문구 답십리동,서울,high,30215,30215,31,0.0354426641069187,28.214583333333334,378,1337
1126010100,서울특별시 중랑구 면목동,서울,high,61304,61304,62,0.0354426641069187,28.214583333333334,840,16503
1171010300,서울특별시 송파구 풍납동,서울,high,18698,18698,19,0.0354426641069187,28.214583333333334,1000,2220
1111010900,서울특별시 종로구 누상동,서울,low,2210,2210,3,0.0354426641069187,28.214583333333334,984,1097
1111018100,서울특별시 종로구 행촌동,서울,low,3294,3294,4,0.0354426641069187,28.214583333333334,872,1087
1114015400,서울특별시 중구 오장동,서울,low,558,558,1,0.0354426641069187,28.214583333333334,0,0
1156012000,서울특별시 영등포구 문래동2가,서울,low,780,780,1,0.0354426641069187,28.214583333333334,0,0
1117013000,서울특별시 용산구 이태원동,서울,mid,6959,6959,7,0.03670847353930865,27.241666666666667,90,2079
1141011000,서울특별시 서대문구 북아현동,서울,mid,14556,14556,15,0.03670847353930865,27.241666666666667,686,1901
1144012000,서울특별시 마포구 서교동,서울,mid,13246,13246,14,0.03670847353930865,27.241666666666667,814,4317
1153010900,서울특별시 구로구 궁동,서울,mid,10898,10898,11,0.03670847353930865,27.241666666666667,1000,4975
4122010100,경기도 평택시 서정동,수도권(경기·인천),high,31446,31446,32,0.012383900928792563,80.75,912,7953
4145010800,경기도 하남시 덕풍동,수도권(경기·인천),high,31724,31724,32,0.012383900928792563,80.75,508,1816
4159011700,경기도 화성시 병점동,수도권(경기·인천),high,20912,20912,21,0.012383900928792563,80.75,0,1102
4159013000,경기도 화성시 청계동,수도권(경기·인천),high,16445,16445,17,0.012383900928792563,80.75,0,0
2811012300,인천광역시 중구 신생동,수도권(경기·인천),low,748,748,1,0.012383900928792563,80.75,116,58
4136025625,경기도 남양주시 화도읍 금남리,수도권(경기·인천),low,450,450,1,0.012383900928792563,80.75,450,225
4155013000,경기도 안성시 신모산동,수도권(경기·인천),low,100,100,1,0.012383900928792563,80.75,100,50
4161033021,경기도 광주시 도척면 노곡리,수도권(경기·인천),low,522,522,1,0.012383900928792563,80.75,522,261
4139012000,경기도 시흥시 하상동,수도권(경기·인천),mid,4958,4958,5,0.012383900928792563,80.75,0,21
4145011400,경기도 하남시 감일동,수도권(경기·인천),mid,8594,8594,9,0.012383900928792563,80.75,284,142
4150035025,경기도 이천시 대월면 초지리,수도권(경기·인천),mid,1796,1796,2,0.012383900928792563,80.75,1000,602
4155025026,경기도 안성시 공도읍 승두리,수도권(경기·인천),mid,8272,8272,9,0.012383900928792563,80.75,252,234
2726010100,대구광역시 수성구 범어동,지방,high,40204,40204,41,0.004256186988481657,234.95208333333332,228,1155
4611016400,전라남도 목포시 옥암동,지방,high,35506,35506,36,0.004256186988481657,234.95208333333332,36,124
4817012600,경상남도 진주시 평거동,지방,high,24154,24154,25,0.004256186988481657,234.95208333333332,40,245
5011012900,제주특별자치도 제주시 도남동,지방,high,9274,9274,10,0.004256186988481657,234.95208333333332,424,1813
2711011000,대구광역시 중구 상서동,지방,low,168,168,1,0.004256186988481657,234.95208333333332,0,0
4711310900,경상북도 포항시 북구 대신동,지방,low,1158,1158,2,0.004256186988481657,234.95208333333332,1000,561
4728010900,경상북도 문경시 공평동,지방,low,408,408,1,0.004256186988481657,234.95208333333332,144,72
4817040022,경상남도 진주시 대곡면 광석리,지방,low,106,106,1,0.004256186988481657,234.95208333333332,40,20
3014011800,대전광역시 중구 사정동,지방,mid,3530,3530,4,0.00372416361492145,268.51666666666665,804,714
4380025027,충청북도 단양군 단양읍 상진리,지방,mid,3130,3130,4,0.00372416361492145,268.51666666666665,156,349
4874025022,경상남도 창녕군 창녕읍 교리,지방,mid,1506,1506,2,0.00372416361492145,268.51666666666665,220,167
5218010600,전북특별자치도 정읍시 농소동,지방,mid,1442,1442,2,0.00372416361492145,268.51666666666665,26,13
