legal_code,region_group,weight,true_share,base_share,area_share,type_area_share,hist_share,true_grade,base_grade,area_grade,type_area_grade,quantile_grade,hist_grade
1111010900,서울,28.214583333333334,0.927073837739289,0.9516864175022789,0.9434822242479489,0.9453053783044667,0.927073837739289,A,A,A,A,A,A
1111018100,서울,28.214583333333334,0.6632934682612696,0.7129714811407544,0.6991720331186753,0.6991720331186753,0.6632934682612696,B,B,B,B,B,B
1114016200,서울,28.214583333333334,0.8965690376569038,0.8823430962343096,0.9707112970711297,0.9676987447698745,0.8965690376569038,A,A,A,A,A,A
1117013000,서울,27.241666666666667,0.9874939874939875,0.9629629629629629,1.0,1.0,0.9874939874939875,A,A,A,A,A,A
1123010500,서울,28.214583333333334,0.9760658189977561,0.9947643979057592,0.9992520568436799,0.9992520568436799,0.9760658189977561,A,A,A,A,A,A
1126010100,서울,28.214583333333334,0.8994122280797431,0.9443737502272315,0.9640671393080046,0.954553717505908,0.8994122280797431,A,A,A,A,A,A
1141011000,서울,27.241666666666667,0.96422935297212,0.9637033140452393,0.9863229879011047,0.9668595476065229,0.96422935297212,A,A,A,A,A,A
1144012000,서울,27.241666666666667,0.8346073662265462,0.7954598100532777,0.887190178364605,0.8860319666435025,0.8346073662265462,A,A,A,A,A,A
1153010900,서울,27.241666666666667,0.810251256281407,0.8840201005025126,0.9893467336683417,0.8966834170854271,0.810251256281407,A,A,A,A,A,A
1171010300,서울,28.214583333333334,0.8585585585585586,0.8148648648648649,0.9315315315315316,0.9310810810810811,0.8585585585585586,A,A,A,A,A,A
2726010100,지방,234.95208333333332,0.8857142857142857,0.9497835497835497,0.9307359307359307,0.8978354978354979,0.8857142857142857,A,A,A,A,A,A
2811012300,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
3014011800,지방,268.51666666666665,0.12324929971988796,0.0,0.11764705882352941,0.11764705882352941,0.12324929971988796,D,D,D,D,D,D
4122010100,수도권(경기·인천),80.75,0.04199673079341129,0.011442223060480322,0.005029548598013328,0.005532503457814661,0.04199673079341129,D,D,D,D,D,D
4136025625,수도권(경기·인천),80.75,0.40444444444444444,0.26666666666666666,0.35555555555555557,0.35555555555555557,0.40444444444444444,C,C,C,C,C,C
4139012000,수도권(경기·인천),80.75,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,A,A,A,A,A,A
4145010800,수도권(경기·인천),80.75,0.776431718061674,0.8678414096916299,0.7979074889867841,0.7979074889867841,0.776431718061674,A,A,A,A,A,A
4145011400,수도권(경기·인천),80.75,1.0,1.0,1.0,1.0,1.0,A,A,A,A,A,A
4150035025,수도권(경기·인천),80.75,0.14451827242524917,0.0,0.0,0.0664451827242525,0.14451827242524917,D,D,D,D,D,D
4155013000,수도권(경기·인천),80.75,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4155025026,수도권(경기·인천),80.75,0.14957264957264957,0.0,0.0,0.0,0.14957264957264957,D,D,D,D,D,D
4159011700,수도권(경기·인천),80.75,0.13157894736842105,0.3874773139745917,0.0027223230490018148,0.07713248638838476,0.13157894736842105,D,C,D,D,D,D
4161033021,수도권(경기·인천),80.75,0.24521072796934865,0.03065134099616858,0.03065134099616858,0.03065134099616858,0.24521072796934865,D,D,D,D,D,D
4380025027,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4611016400,지방,234.95208333333332,0.0967741935483871,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0967741935483871,D,D,D,D,D,D
4711310900,지방,234.95208333333332,0.0,0.0071301247771836,0.0,0.0,0.0,D,D,D,D,D,D
4728010900,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4817012600,지방,234.95208333333332,0.00816326530612245,0.00816326530612245,0.0,0.0,0.00816326530612245,D,D,D,D,D,D
4817040022,지방,234.95208333333332,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
4874025022,지방,268.51666666666665,0.0,0.023952095808383235,0.0,0.0,0.0,D,D,D,D,D,D
5011012900,지방,234.95208333333332,0.45725317153888584,0.3789299503585218,0.419746276889134,0.3734142305570877,0.45725317153888584,C,C,C,C,C,C
5218010600,지방,268.51666666666665,0.0,0.0,0.0,0.0,0.0,D,D,D,D,D,D
1111010900,서울,28.214583333333334,0.8040109389243391,0.8468550592525068,0.8340929808568824,0.8340929808568824,0.8047488814949864,A,A,A,A,A,A
1111018100,서울,28.214583333333334,0.31278748850046,0.27598896044158233,0.33210671573137074,0.33210671573137074,0.31420393771849126,C,C,C,C,C,C
1114016200,서울,28.214583333333334,0.6361506276150628,0.6384937238493724,0.622092050209205,0.5978242677824268,0.6365384855062761,B,B,B,B,B,B
1117013000,서울,27.241666666666667,0.9446849446849447,0.9013949013949014,0.9788359788359788,0.9788359788359788,0.9447078491582491,A,A,A,A,A,A
1123010500,서울,28.214583333333334,0.8347045624532535,0.8197456993268512,0.9618548990276738,0.9618548990276738,0.8392634531039641,A,A,A,A,A,A
1126010100,서울,28.214583333333334,0.5710476882990971,0.6407319881233715,0.6625462037205356,0.6350360540507787,0.5740639732291098,B,B,B,B,B,B
1141011000,서울,27.241666666666667,0.911625460284061,0.923198316675434,0.932140978432404,0.9200420831141505,0.9108656258811152,A,A,A,A,A,A
1144012000,서울,27.241666666666667,0.5772527217975446,0.5154042158906648,0.5638174658327543,0.5494556404910818,0.5779697089182302,B,B,B,B,B,B
1153010900,서울,27.241666666666667,0.4570854271356784,0.2723618090452261,0.41869346733668344,0.3887437185929648,0.45750657923618093,C,C,C,C,C,C
1171010300,서울,28.214583333333334,0.5752252252252252,0.5207207207207207,0.5373873873873873,0.5364864864864864,0.5789289275675675,B,B,B,B,B,B
2726010100,지방,234.95208333333332,0.612987012987013,0.7367965367965368,0.7367965367965368,0.716017316017316,0.6111042387878788,B,B,B,B,B,B
